[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | OnPropertyChanged
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SetGameFolderPath
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetOriginalSize
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | LoadFolder
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | CreateCGList
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetFontSize
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | .ctor
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | .ctor
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeValues
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | readSettings
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SelectGameFolderPath
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | .ctor
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | InitializeValues
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | LoadSettings
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | OnPropertyChanged
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SetGameFolderPath
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetOriginalSize
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | LoadFolder
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | CreateCGList
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:30:31] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetFontSize
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | .ctor
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | .ctor
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeValues
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | readSettings
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SelectGameFolderPath
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | .ctor
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | InitializeValues
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | LoadSettings
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | OnPropertyChanged
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SetGameFolderPath
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetOriginalSize
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | LoadFolder
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | CreateCGList
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:31:0] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetFontSize
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | .ctor
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | .ctor
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeValues
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | readSettings
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SelectGameFolderPath
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | AddCommand
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | AddCommand
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SetFontSize
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | .ctor
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | InitializeValues
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | OnFontSizeSliderChanged
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | LoadSettings
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | OnPropertyChanged
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SetGameFolderPath
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetOriginalSize
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | LoadFolder
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | CreateCGList
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetFontSize
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeEvents
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | main_Window_SizeChanged
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeAllObjectsSize
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeController
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeController
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeController
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeController
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | OnSourceInitialized
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | RegisterHotKey
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | GameTB_GotFocus
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | GameTB_GotFocus
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | OnHotKeyPressed
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | OnHotKeyPressed
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | OnHotKeyPressed
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | OnHotKeyPressed
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | OnHotKeyPressed
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | GameTB_LostFocus
[14:32:12] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | .ctor
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | .ctor
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeValues
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | readSettings
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SelectGameFolderPath
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | AddCommand
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | AddCommand
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SetFontSize
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | .ctor
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | InitializeValues
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | OnFontSizeSliderChanged
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | LoadSettings
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | OnPropertyChanged
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SetGameFolderPath
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetOriginalSize
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | LoadFolder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | CreateCGList
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetFontSize
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeEvents
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | main_Window_SizeChanged
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeAllObjectsSize
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeController
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeController
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeController
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResizeController
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | OnSourceInitialized
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | RegisterHotKey
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | GameTB_GotFocus
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | GameTB_GotFocus
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | main_Window_MouseDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | gameTB_KeyDown
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | GameTB_LostFocus
[14:35:6] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | ResetBorder
[14:35:29] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:35:29] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | .ctor
[14:35:29] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | .ctor
[14:35:29] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeValues
[14:35:29] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | readSettings
[14:35:29] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SelectGameFolderPath
[14:35:29] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | AddCommand
[14:35:29] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
